Name,Address,Price,Rating
element troy chromoly 2020 new 10speed,Makassar,Rp4.999.000,5
Pelindung Rantai Sepeda Lipat - Protector Chain Folding Bike - Pelindung Sepeda Lipat - Clamp Sepeda Lipat - Chain Guide Sepeda Lipat,Kendal,Rp27.000,4.9
Chainring Litepro 53T BCD 5 Bolt 130mm with Guard Original - 4 warna,Jakarta Utara,Rp150.000,5
Xiaomi QiCycle Sepeda Elektrik Lipat Smart Bicycle,Jakarta Barat,Rp8.730.000,4.9
READY STOCK DAHON YUKI 16 INCH NOT FNHON - BIRU,Jakarta Utara,Rp2.900.000,5
sepeda lipat 20 exotic explore 3 3.0 300,Jambi,Rp1.800.000,4.6
Xiaomi HIMO C20 Sepeda Elektrik Lipat Smart QICYCLE Bicycle 250W,Jakarta Barat,Rp8.040.000,4.8
Lankeleisi G650 Sepeda lipat Elektrik Listrik,Tangerang,Rp8.820.000,4.5
Sepeda Lipat - Brompton S6R - Cloud Blue - Orange,Kab. Tangerang,Rp34.000.000,4.5
Sepeda Lipat - Sepeda Dahon Ion Eugene 20,Bekasi,Rp4.580.000,4.5
Xiaomi HIMO Z20 Sepeda Lipat Elektrik Smart Moped Bicycle 250W 80KM,Tangerang,Rp9.150.000,5
Sepeda 16 Lipat Evergreen 1Speed,Kab. Bogor,Rp997.500,4.9
Sepeda 16 Lipat Evergreen  6Speeds,Kab. Bogor,Rp1.140.000,4.8
Sepeda Lipat - Sepeda Police Milan,Bekasi,Rp1.840.000,4.8
Lankeleisi Sepeda Elektrik Lipat Luxury Editon G550 Hitam Merah,Tangerang,Rp9.300.000,5
Sepeda 20 Lipat Exotic 2026MK Cakram,Kab. Bogor,Rp1.850.000,4.7
Sepeda Lipat 16 Anak dan dewasa Evergreen,Jakarta Barat,Rp950.000,4.6
sepeda lipat 20 Inch Pacific skull 3.0 alloy rem hydraulic hidrolik Folding bike,Jambi,Rp2.800.000,5
Sepeda Lipat 20 Pacific Splendid 3.0,Jambi,Rp2.850.000,4.8
Sepeda Lipat 16 Stylo 2020,Jambi,Rp2.200.000,5
sepeda lipat 16 stylo united,Jakarta Barat,Rp2.600.000,5
GROSIR Sepeda Gunung Elektrik Smart Moped 36V 10AH - Lankeleisi  RS600,Jakarta Barat,Rp7.660.000,4.9
Sepeda Lipat United Trifold 7S 7 speed,Jambi,Rp8.500.000,5
Sepeda Xiaomi HIMO C20 Elektrik Lipat Smart Moped Bicycle 250W,Tangerang,Rp8.500.000,5
BTWIN Tilt 500 XS 14 inch Sepeda Lipat - Silver,Tangerang,Rp5.750.000,4.5
Lankeleisi QF600 Sepeda Elektrik Lipat Smart Moped 36V 10Ah 400W,Jakarta Barat,Rp7.600.000,5
Sepeda lipat 20 United Stylo,Jambi,Rp2.800.000,5
Sepeda lipat 20 Pacific 2980 RX 8.0 8 speed rem hidrolik,Jambi,Rp2.050.000,4.5
Folding bike seli sepeda lipat 20 inci Exotic 2026 SL DB VT,Jambi,Rp1.800.000,5
sepeda lipat 16 inch Pacific 2980 rx 9.0 2021 9 speed rem hidrolik hydraulic disc brake,Jambi,Rp2.620.000,4
Sepeda lipat 16 bnb dream folding bike,Jambi,Rp1.850.000,Terjual 46
Lankeleisi Sepeda Elektrik Lipat Moped Sport Version XT750,Tangerang,Rp12.470.400,4.7
Lankeleisi Sepeda Elektrik MTB Lipat Elite Version XT600,Tangerang,Rp8.875.000,5
Sepeda Lipat - United Stylo Beat 20,Bekasi,Rp2.550.000,4.5
Sepeda lipat 20 Noris 2.3,Jambi,Rp2.850.000,4
Sepeda lipat 20 bnb chris,Jambi,Rp1.650.000,4.8
sepeda lipat seli Genio F211 Folding Bike,Jambi,Rp1.750.000,4.7
Sepeda lipat 20 Avand Chester X 10 speed,Jambi,Rp5.950.000,4.8
BTWIN Limited Edition Tilt 120 20 inch Folding Bike - Red,Tangerang,Rp3.500.000,4.8
Xiaomi HIMO C20 Sepeda Elektrik Lipat Smart QICYCLE Bicycle 250W warna putih,Jakarta Barat,Rp8.040.000,5
Sepeda Elektrik Lipat Luxury Edition 48V 10.4AH Lankeleisi,Jakarta Barat,Rp9.312.100,4.7
Sepeda Lipat - Sepeda United Mirone Pro,Bekasi,Rp5.990.000,4
